id,case_name,vessel,country,city,region,lat,lon,class_type,display_mode,status,opened_year,length_m,displacement_t,accessibility,throughput,conservation,cost_public,visitors_public,relevance,confidence,priority,source_url,data_warning,insight
GR-PROTEUS,PROTEUS / PROTEFS,S-113,그리스,Athens,유럽,37.934,23.683,HDW Type 209/1100,해양유산공원,제한 공개,2026,54.1,1207,미확인,통제 연속동선,미확인,미공개,미공개,5,A,1,https://www.mod.mil.gr/en/minister-of-national-defence-n-dendias-attends-delivery-ceremony-of/,상시 내부관람 체계 미확인,장보고급과 같은 Type 209 계열의 최우선 직접 비교군
DE-U17,Technik Museum Sinsheim,U17 S196,독일,Sinsheim,유럽,49.239,8.899,Type 206A,실내 육상,운영,2025,48.6,450,사다리 승함,동시 30명,기계환기·화재감지,약 EUR 2m,미공개,5,A,1,https://u17.technik-museum.de/en/,잠수함 내부 무장애 여부 공식 미확인,브리지·턴스타일·환기·화재감지 통합 모델
AU-OVENS,WA Maritime Museum,HMAS Ovens S70,호주,Fremantle,오세아니아,-32.056,115.739,Oberon급,야외 육상,일시 폐쇄 확인 필요,1998,89.9,2070,승선 제한·대체투어,30분 간격 가이드,2023 함체수리·재도장,AUD 3.5m,미공개,5,A,1,https://visit.museum.wa.gov.au/maritime/hmas-ovens,비용에 주변 heritage 공사 포함,장보고함 규모에 가까운 신규 입출구·난간·기상기준 사례
JP-AKISHIO,JMSDF Kure Museum,JDS Akishio SS-579,일본,Kure,아시아,34.242,132.555,Yushio급,실내연결 육상,운영,2007,76.2,2450,함내 상세 미확인,박물관 3층 직접 연결,미공개,미공개,미공개,5,B,1,https://www.jmsdf-kure-museum.go.jp/en/,수용량·절개·함내 휠체어 접근 미확인,전시관 상층과 실함을 직접 잇는 내후성 동선
UK-ALLIANCE,Royal Navy Submarine Museum,HMS Alliance,영국,Gosport,유럽,50.787,-1.120,Amphion급,야외 육상,운영,1981,85.8,1620,후부 어뢰실 리프트,미공개,2011~14 대규모 보존,GBP 7m,미공개,5,A,2,https://www.royalnavymuseums.org.uk/visit-us/submarine-museum/hms-alliance,공식 계열 페이지 사이 접근성 문구 상충,대표 구획 접근과 대체해설의 현실적 모델
FR-ESPADON,Espadon Museum,Espadon S637,프랑스,Saint-Nazaire,유럽,47.278,-2.203,Narval급,수상 계류,운영,1987,77.0,1900,휠체어 불가,최대 19명 예약,2021 음극방식·제습·강판교체,EUR 1.35m,누적 약 2.7~3.0m,5,A,2,https://www.saint-nazaire-tourisme.com/les-visites/les-sites-de-visite/espadon/,누적 방문객 범위 차이,수상형의 수면선 부식과 대보수 비용을 보여주는 사례
US-GROWLER,Intrepid Museum,USS Growler SSG-577,미국,New York,미주,40.765,-74.000,Greyback급,수상 계류,운영,1989,96.6,3570,모형해치 검사·대체전시,일방통행·대기열,2009 대수리,미공개,미공개,5,B,2,https://intrepidmuseum.org/exhibitions/permanent-exhibitions/submarine-growler,함정 단독 방문객·비용 미공개,원형 내부와 완전 접근형 육상 대체전시의 이원화
US-BLUEBACK,OMSI,USS Blueback SS-581,미국,Portland,미주,45.508,-122.666,Barbel급,수상 계류,운영,1994,66.9,2895,휠체어 불가·감각안내,12명/20분·45분 투어,미공개,미공개,미공개,5,A,2,https://omsi.edu/exhibits/uss-blueback-submarine/,일반요금 동적 예매,정시 소그룹 운영과 시간당 처리량 산정 모델
KR-SEOUL,서울함공원,SSM-053,대한민국,서울,국내,37.556,126.895,돌고래급,실내 육상·측면절개,운영,2017,25.0,190,상세 미확인,다층 관람,구체 주기 미공개,미공개,집계범위 상충,4,B,2,https://hangang.seoul.go.kr/www/contents/803.do?mid=527,배수량 175·178·190·223t 상충,측면 절개와 다층 관람데크의 국내 핵심 사례
IN-KURSURA,Kursura Submarine Museum,INS Kursura S20,인도,Visakhapatnam,아시아,17.718,83.329,Foxtrot급,야외 육상,운영,2002,91.3,2475,미확인,가이드 운영,미공개,약 INR 6 crore,미공개,5,B,2,https://vmrda.gov.in/kursura.aspx,같은 공식 페이지 내 시간·요금·비용 상충,91m 전함체 인양과 콘크리트 기초 비교군
FR-REDOUTABLE,La Cite de la Mer,Le Redoutable S611,프랑스,Cherbourg,유럽,49.646,-1.617,SNLE,실내 basin,운영,2002,128.0,9000,내부 상세 미확인,35분 일방향,비핵화 후 실내화,미공개,시설 누적 약 3.8m,4,B,3,https://www.citedelamer.com/en/redoutable/,방문객은 시설 전체 수치,대형함 내부와 외부·하부 전시를 분산한 모델
US-BOWFIN,Pacific Fleet Submarine Museum,USS Bowfin SS-287,미국,Honolulu,미주,21.368,-157.939,Balao급,수상 계류,운영,1981,95.0,2424,4세 미만 불가,육상 갤러리로 분산,2022 dry dock,캠퍼스 USD 23m,연 약 350k 캠퍼스,4,B,3,https://www.pearlharborhistoricsites.org/plan/pacific-fleet-submarine-museum,사업비·방문객은 캠퍼스 범위,대규모 수요 분산과 dry dock 충당 사례
US-NAUTILUS,Submarine Force Museum,USS Nautilus SSN-571,미국,Groton,미주,41.389,-72.090,원자력 잠수함,수상 계류,운영,1986,97.5,4092,함내 일부 제한·AR,자율관람,2022 보존 후 재개방,박물관 증축 USD 4m,미공개,4,B,3,https://ussnautilus.org/museum-information/,함정 개조비 미공개,별도 진입모듈과 육상 AR 가상투어
AU-ONSLOW,Australian National Maritime Museum,HMAS Onslow S60,호주,Sydney,오세아니아,-33.869,151.199,Oberon급,수상 계류,운영,1999,89.9,2030,휠체어 불가·360 투어,자유이동,HVAC retrofit,미공개,미공개,4,B,3,https://www.sea.museum/en/whats-on/our-fleet/hmas-onslow,단독 비용·방문객 미공개,고온다습 대응 냉각·제습·여과 공조
NL-TONIJN,Dutch Navy Museum,Hr.Ms. Tonijn S805,네덜란드,Den Helder,유럽,52.959,4.772,Potvis급,박물관 단지 육상,운영,1994,78.25,1780,함정 휠체어 불가,학교 소그룹 순환,제3자 석면검사,미공개,미공개,4,A,3,https://www.marinemuseum.nl/en/tonijn/,대피·소방·보존비 미확인,퇴역 승조원 해설과 유해물질 제3자 인증
SE-NORDKAPAREN,Maritiman,HMS Nordkaparen,스웨덴,Gothenburg,유럽,57.706,11.964,Draken급,수상 계류,운영,2014,69.3,835,사다리·협소공간,가이드 최대 20명,라듐 제염 후 2024 재개관,미공개,미공개,4,A,3,https://www.maritiman.se/en/fleet/submarine-nordkaparen,제염비 미공개,라듐 야광도료까지 포함한 유해물질 조사 필요
DE-U434,U-Bootmuseum Hamburg,U-434 B-515,독일,Hamburg,유럽,53.546,9.951,Tango급,수상 계류,운영,2002,90.16,3800,휠체어·목발 불가,동시 80명·60분,미공개,미공개,미공개,4,B,3,https://u-434.de/en/u-boat-434-visit.html,보존비·방식 미공개,인원·시간 제한과 함수·함미 비상출구 명문화
DE-U995,Marine-Ehrenmal Laboe,U 995,독일,Laboe,유럽,54.412,10.230,Type VII C/41,야외 육상,운영,1972,67.1,1070,미확인,단체가이드 제한,염분부식 상시관리,미공개,연 수십만 표현,3,B,4,https://deutscher-marinebund.de/marine-ehrenmal-u-995/plan-your-visit/,정확 방문객·안전설비 미공개,해안 육상도 조선소·퇴역자 기반의 상시 보존 필요
KR-GANGNEUNG,강릉 통일공원,북한 상어급,대한민국,강릉,국내,37.731,128.994,상어급,야외 육상,운영 종료,2001,35.0,280,과거 관람,해당 없음,노후 후 이전,과거 보수예산 공개,감소,4,A,4,https://news.kbs.co.kr/news/view.do?ncd=7914156,2024 해군 1함대로 이전·일반공개 미확인,20년 이후 노후·철거·이전의 국내 반면교사
KR-GIMPO,김포함상공원,운봉함 LST-671,대한민국,김포,국내,37.640,126.540,LST,야외 육상,운영,2010,99.6,4080,경사로 보수,자율관람,시설 유지보수,미공개,2023 64.4k,3,A,4,https://www.guc.or.kr/facility/park_marinepark.asp,2025 무료화 조례와 홈페이지 요금 상충,국내 대형 퇴역함의 현실적 수요와 상시 설비비
KR-GUNSAN,진포해양테마공원,위봉함 LST-676,대한민국,군산,국내,35.990,126.716,LST,야외 육상,운영,2008,99.6,4080,미확인,다층 함내,미공개,KRW 5bn,미공개,3,B,4,https://www.gunsan.go.kr/tour/m2227,공식 페이지끼리 세부 건조연혁 차이,지역 해전사와 실함을 결합한 콘텐츠 모델
KR-SAPGYO,삽교호 함상공원,상륙함·구축함,대한민국,당진,국내,36.888,126.826,복수 퇴역함,수상·육상 고정,존폐 검토,2002,100.0,4000,미확인,자율관람,장기 노후,연 OPEX 5억원 이상 보도,미공개,4,B,4,https://www.dangjin.go.kr/prog/tursmCn/tour/sub04_03_03/view.do?cntno=85,최신 요금·운영구조 확인 필요,24년 후 유지비와 존폐 문제의 생애주기 반면교사
MY-OUESSANT,Submarine Museum Melaka,FS Ouessant S623,말레이시아,Melaka,아시아,2.217,102.185,Agosta 70,야외 육상,운영,2012,67.6,1760,미확인,자율관람,미공개,미공개,미공개,3,C,4,https://www.visitmelaka.com.my/index.php/nature-adventure/recreation/137-submarine-museum,주·연방 관광페이지 종료시간 상충,현대 디젤전기함의 저가·복합레저 모델
ID-PASOPATI,Monumen Kapal Selam,KRI Pasopati 410,인도네시아,Surabaya,아시아,-7.266,112.752,Whiskey급,야외 육상,운영,1998,76.6,1350,미확인,자율관람,미공개,미공개,미공개,3,B,4,https://www.indonesia.travel/id/id/destination/java/east-java/monumen-kapal-selam-surabaya,구조·안전 기술자료 부족,도심 수변에 영상·공원·식음을 결합한 체류형 모델
